="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6",="Factor7",="Factor8",="Factor9"
="qoi22mean_pooled",=".6703229",="-.428972",="-.1534404",="-.3670784",="-.1160043",="-.0397222",=".0375683",=".0171925",=".0108646"
="qoi23mean_pooled",=".8653297",="-.1130016",=".1629577",="-.1977251",="-.003455",="-.1616884",="-.0923384",="-.0068329",="-.0192302"
="qoi24mean_pooled",=".9054274",="-.1054365",=".1166161",="-.2561083",="-.0266933",="-.0938277",=".0126695",="-.0677724",=".0016861"
="qoi25mean_pooled",=".7765511",=".2649762",=".3019055",=".1265066",=".0862298",="-.0553637",="-.1214969",="-.0187845",=".0363365"
="qoi26mean_pooled",=".8432649",=".1192696",=".2867949",="-.2379933",=".1186148",=".1078299",=".033114",=".0357594",="-.0115945"
="qoi27mean_pooled",=".5648653",=".4311291",=".4067156",="-.0334688",=".1188276",=".1364526",=".0657054",=".0422228",="-.0230587"
="qoi28mean_pooled",=".8469629",="-.0337225",=".1042147",=".2224952",="-.3034062",=".04537",=".0001471",=".009004",=".0047722"
="qoi29mean_pooled",=".8788271",="-.1165614",=".1370054",=".0255876",="-.2765752",=".0198814",=".0851105",=".0306183",=".0138475"
="qoi30mean_pooled",=".8416648",=".110864",=".2908768",=".1819472",="-.140383",="-.0641238",="-.0085679",="-.0228261",="-.0058383"
="qoi31mean_pooled",=".7818941",="-.5012141",="-.0313588",="-.0066203",=".1085744",=".1557458",="-.0645906",="-.0072204",=".0057665"
="qoi32mean_pooled",=".7052449",="-.3935145",=".0133876",=".2587326",=".1878228",="-.1775836",=".0819158",=".018484",="-.0212842"
="qoi33mean_pooled",=".8051212",="-.4899258",="-.039783",=".1067817",=".1688736",="-.0065209",=".0804287",="-.0166382",="-.0048363"
="qoi34mean_pooled",=".7472537",="-.5605782",="-.0603017",=".1168199",=".0834654",=".1417722",="-.0368748",="-.016323",=".0266328"
="qoi35mean_pooled",=".7771829",=".4108078",="-.2736335",="-.0517184",=".0172632",="-.0079381",=".101535",=".0040158",=".0409213"
="qoi36mean_pooled",=".8570062",=".317122",="-.2421262",=".0291738",=".0067422",=".0050403",="-.0251001",="-.0427461",="-.0139975"
="qoi37mean_pooled",=".6957373",=".5120587",="-.1682101",=".042761",=".0679877",=".030639",=".0695486",="-.1024023",="-.005828"
="qoi38mean_pooled",=".8843354",=".0639441",="-.3010623",="-.004201",="-.1071258",=".1071251",="-.0840365",="-.0147338",="-.04142"
="qoi39mean_pooled",=".828413",=".3846405",="-.1465253",="-.0352011",=".1451927",="-.0519861",="-.0631608",=".0667311",=".0249947"
="qoi40mean_pooled",=".8570402",=".1503807",="-.3340281",=".0864504",="-.0218501",="-.0511172",="-.0218982",=".095352",="-.0165881"
