="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6",="Factor7"
="qoi10mean_pooled",=".4138339",=".0765484",=".6716615",="-.134145",=".0833004",="-.0388327",="-.0205897"
="qoi20mean_pooled",=".1224306",=".0498145",=".3828834",="-.094314",=".0302157",=".2680896",=".0177792"
="qoi24mean_pooled",=".7414734",=".3396565",="-.0073022",=".1278341",="-.0296022",=".0701375",="-.0758764"
="qoi41mean_pooled",=".6703403",=".3943543",=".1708513",=".2043139",="-.2186204",="-.0264313",=".0241881"
="qoi44mean_pooled",=".8131265",=".4308349",=".0271344",=".108846",="-.0686691",=".0057481",="-.0293912"
="qoi64mean_pooled",=".7084838",=".3342797",="-.2260365",="-.0814113",=".2031912",=".1264678",="-.0204109"
="qoi87mean_pooled",=".6857598",=".422468",="-.1540581",="-.0044767",=".0165243",="-.0107453",=".0451866"
="qoi98mean_pooled",=".5443436",=".3542609",="-.4630652",="-.076865",=".1775254",="-.0898384",=".043679"
="qoi103mean_pooled",="-.5026177",=".6732975",="-.0668834",="-.2245373",="-.1097486",="-.029371",="-.0395883"
="qoi104mean_pooled",="-.509925",=".6698211",="-.0334901",="-.2163103",="-.0915041",="-.0252025",="-.0451193"
="qoi105mean_pooled",="-.5991503",=".5115993",=".0619932",=".1852521",=".0889372",="-.0430157",="-.0266847"
="qoi109mean_pooled",="-.5860631",=".5227326",=".0779705",="-.0868139",="-.0175771",=".0779157",=".1021698"
="qoi111mean_pooled",="-.5863618",=".4274041",=".0483339",=".285221",=".0380878",=".0465989",=".0597001"
="qoi112mean_pooled",="-.7620841",=".2064312",=".1180924",=".167685",=".1933779",=".0017395",="-.0674654"
="qoi128mean_pooled",=".3901034",=".1976374",=".5442865",="-.0477079",=".1156283",="-.1746091",=".0373289"
