="",="Factor 1",="Factor 2",="Uniqueness"
="qoi22mean_pooled",=".6703229",="-.428972",=".3666503"
="qoi23mean_pooled",=".8653297",="-.1130016",=".2384352"
="qoi24mean_pooled",=".9054274",="-.1054365",=".1690843"
="qoi25mean_pooled",=".7765511",=".2649762",=".326756"
="qoi26mean_pooled",=".8432649",=".1192696",=".2746791"
="qoi27mean_pooled",=".5648653",=".4311291",=".4950549"
="qoi28mean_pooled",=".8469629",="-.0337225",=".2815166"
="qoi29mean_pooled",=".8788271",="-.1165614",=".2140764"
="qoi30mean_pooled",=".8416648",=".110864",=".2793096"
="qoi31mean_pooled",=".7818941",="-.5012141",=".137426"
="qoi32mean_pooled",=".7052449",="-.3935145",=".3477759"
="qoi33mean_pooled",=".8051212",="-.4899258",=".1117526"
="qoi34mean_pooled",=".7472537",="-.5605782",=".127364"
="qoi35mean_pooled",=".7771829",=".4108078",=".2272237"
="qoi36mean_pooled",=".8570062",=".317122",=".164974"
="qoi37mean_pooled",=".6957373",=".5120587",=".2537454"
="qoi38mean_pooled",=".8843354",=".0639441",=".2138621"
="qoi39mean_pooled",=".828413",=".3846405",=".1657836"
="qoi40mean_pooled",=".8570402",=".1503807",=".2428677"
